# Canadian Moho depth compilation by Schetsellar, E. M. and Snyder, D. B.
# ===
# This is a reproduction of data downloaded from geoscan.nrcan.gc.ca
# ===
# Title: National database of Moho depth estimates estimates from seismic refraction and teleseismic surveys
# Author: Schetselaar, E M; Snyder, D B
# Source: Geological Survey of Canada, Open File 8243, 2017, 14 pages, https://doi.org/10.4095/305396 (Open Access)
# Year: 2017
# Publisher: Natural Resources Canada
# GEOSCAN ID: 305396
STATION,LON,LAT,Z,MOHODEPTH,STDDEV,DUPLICATE,METHOD,DATA_SOURCE,LOCATION,AUTHORS_1st,YEAR,TITLE,JOURNAL
Line6Site31E,-61.87,56.42,18.19,34,,FALSE,REFRACTION,LITHOPROBE,ECSOOT,Louden & Fan,1998,"Crustal structures of Grenville, Makkovik, and southern Nain provinces along the Lithoprobe ECSOOT Transect: Regional seismic refraction and gravity models and their tectonic implications","Canadian Journal of Earth Sciences, 35(5):583-601"
Line6Site32E,-62.07,56.44,52.86,34,,FALSE,REFRACTION,LITHOPROBE,ECSOOT,Louden & Fan,1998,"Crustal structures of Grenville, Makkovik, and southern Nain provinces along the Lithoprobe ECSOOT Transect: Regional seismic refraction and gravity models and their tectonic implications","Canadian Journal of Earth Sciences, 35(5):583-601"
Line6Site33E,-62.32,56.45,379.65,34,,FALSE,REFRACTION,LITHOPROBE,ECSOOT,Louden & Fan,1998,"Crustal structures of Grenville, Makkovik, and southern Nain provinces along the Lithoprobe ECSOOT Transect: Regional seismic refraction and gravity models and their tectonic implications","Canadian Journal of Earth Sciences, 35(5):583-601"
Line6Site34E,-62.58,56.47,486.83,35,,FALSE,REFRACTION,LITHOPROBE,ECSOOT,Louden & Fan,1998,"Crustal structures of Grenville, Makkovik, and southern Nain provinces along the Lithoprobe ECSOOT Transect: Regional seismic refraction and gravity models and their tectonic implications","Canadian Journal of Earth Sciences, 35(5):583-601"
Line6Site35E,-62.78,56.48,439.14,35,,FALSE,REFRACTION,LITHOPROBE,ECSOOT,Louden & Fan,1998,"Crustal structures of Grenville, Makkovik, and southern Nain provinces along the Lithoprobe ECSOOT Transect: Regional seismic refraction and gravity models and their tectonic implications","Canadian Journal of Earth Sciences, 35(5):583-601"
Line6Site36E,-63,56.48,465.74,36,,FALSE,REFRACTION,LITHOPROBE,ECSOOT,Louden & Fan,1998,"Crustal structures of Grenville, Makkovik, and southern Nain provinces along the Lithoprobe ECSOOT Transect: Regional seismic refraction and gravity models and their tectonic implications","Canadian Journal of Earth Sciences, 35(5):583-601"
Line6Site37E,-63.21,56.49,432.07,38,,FALSE,REFRACTION,LITHOPROBE,ECSOOT,Louden & Fan,1998,"Crustal structures of Grenville, Makkovik, and southern Nain provinces along the Lithoprobe ECSOOT Transect: Regional seismic refraction and gravity models and their tectonic implications","Canadian Journal of Earth Sciences, 35(5):583-601"
Line6Site37E,-63.21,56.49,432.07,39,,TRUE,REFRACTION,LITHOPROBE,ECSOOT,Louden & Fan,1998,"Crustal structures of Grenville, Makkovik, and southern Nain provinces along the Lithoprobe ECSOOT Transect: Regional seismic refraction and gravity models and their tectonic implications","Canadian Journal of Earth Sciences, 35(5):583-601"
Line6Site38E,-63.42,56.5,433.39,39,,FALSE,REFRACTION,LITHOPROBE,ECSOOT,Louden & Fan,1998,"Crustal structures of Grenville, Makkovik, and southern Nain provinces along the Lithoprobe ECSOOT Transect: Regional seismic refraction and gravity models and their tectonic implications","Canadian Journal of Earth Sciences, 35(5):583-601"
Line6Site39E,-63.65,56.52,482.86,39,,FALSE,REFRACTION,LITHOPROBE,ECSOOT,Louden & Fan,1998,"Crustal structures of Grenville, Makkovik, and southern Nain provinces along the Lithoprobe ECSOOT Transect: Regional seismic refraction and gravity models and their tectonic implications","Canadian Journal of Earth Sciences, 35(5):583-601"
Line6Site3E,-60.32,56.56,-209.15,33,,FALSE,REFRACTION,LITHOPROBE,ECSOOT,Louden & Fan,1998,"Crustal structures of Grenville, Makkovik, and southern Nain provinces along the Lithoprobe ECSOOT Transect: Regional seismic refraction and gravity models and their tectonic implications","Canadian Journal of Earth Sciences, 35(5):583-601"
Line6Site40E,-63.87,56.52,472.96,39,,FALSE,REFRACTION,LITHOPROBE,ECSOOT,Louden & Fan,1998,"Crustal structures of Grenville, Makkovik, and southern Nain provinces along the Lithoprobe ECSOOT Transect: Regional seismic refraction and gravity models and their tectonic implications","Canadian Journal of Earth Sciences, 35(5):583-601"
Line6Site41E,-64.07,56.52,568.94,39,,FALSE,REFRACTION,LITHOPROBE,ECSOOT,Louden & Fan,1998,"Crustal structures of Grenville, Makkovik, and southern Nain provinces along the Lithoprobe ECSOOT Transect: Regional seismic refraction and gravity models and their tectonic implications","Canadian Journal of Earth Sciences, 35(5):583-601"
Line6Site42E,-64.27,56.53,531.03,39,,FALSE,REFRACTION,LITHOPROBE,ECSOOT,Louden & Fan,1998,"Crustal structures of Grenville, Makkovik, and southern Nain provinces along the Lithoprobe ECSOOT Transect: Regional seismic refraction and gravity models and their tectonic implications","Canadian Journal of Earth Sciences, 35(5):583-601"
Line6Site43E,-64.47,56.55,627.12,38,,FALSE,REFRACTION,LITHOPROBE,ECSOOT,Louden & Fan,1998,"Crustal structures of Grenville, Makkovik, and southern Nain provinces along the Lithoprobe ECSOOT Transect: Regional seismic refraction and gravity models and their tectonic implications","Canadian Journal of Earth Sciences, 35(5):583-601"
Line6Site43E,-64.47,56.55,627.12,39,,TRUE,REFRACTION,LITHOPROBE,ECSOOT,Louden & Fan,1998,"Crustal structures of Grenville, Makkovik, and southern Nain provinces along the Lithoprobe ECSOOT Transect: Regional seismic refraction and gravity models and their tectonic implications","Canadian Journal of Earth Sciences, 35(5):583-601"
Line6Site44E,-64.73,56.54,292.33,38,,FALSE,REFRACTION,LITHOPROBE,ECSOOT,Louden & Fan,1998,"Crustal structures of Grenville, Makkovik, and southern Nain provinces along the Lithoprobe ECSOOT Transect: Regional seismic refraction and gravity models and their tectonic implications","Canadian Journal of Earth Sciences, 35(5):583-601"
Line6Site4E,-60.61,56.55,-30.61,34,,FALSE,REFRACTION,LITHOPROBE,ECSOOT,Louden & Fan,1998,"Crustal structures of Grenville, Makkovik, and southern Nain provinces along the Lithoprobe ECSOOT Transect: Regional seismic refraction and gravity models and their tectonic implications","Canadian Journal of Earth Sciences, 35(5):583-601"
Line7Site1E,-60.97,57.33,-119.28,37,,FALSE,REFRACTION,LITHOPROBE,ECSOOT,Louden & Fan,1998,"Crustal structures of Grenville, Makkovik, and southern Nain provinces along the Lithoprobe ECSOOT Transect: Regional seismic refraction and gravity models and their tectonic implications","Canadian Journal of Earth Sciences, 35(5):583-601"
Line7Site2E,-60.73,57.09,-160.77,36,,FALSE,REFRACTION,LITHOPROBE,ECSOOT,Louden & Fan,1998,"Crustal structures of Grenville, Makkovik, and southern Nain provinces along the Lithoprobe ECSOOT Transect: Regional seismic refraction and gravity models and their tectonic implications","Canadian Journal of Earth Sciences, 35(5):583-601"
Line7Site3E,-60.49,56.83,-379.82,34,,FALSE,REFRACTION,LITHOPROBE,ECSOOT,Louden & Fan,1998,"Crustal structures of Grenville, Makkovik, and southern Nain provinces along the Lithoprobe ECSOOT Transect: Regional seismic refraction and gravity models and their tectonic implications","Canadian Journal of Earth Sciences, 35(5):583-601"
Line7Site4E,-60.22,56.55,-386.16,32,,FALSE,REFRACTION,LITHOPROBE,ECSOOT,Louden & Fan,1998,"Crustal structures of Grenville, Makkovik, and southern Nain provinces along the Lithoprobe ECSOOT Transect: Regional seismic refraction and gravity models and their tectonic implications","Canadian Journal of Earth Sciences, 35(5):583-601"
Line7Site5E,-59.97,56.3,-329.71,32,,FALSE,REFRACTION,LITHOPROBE,ECSOOT,Louden & Fan,1998,"Crustal structures of Grenville, Makkovik, and southern Nain provinces along the Lithoprobe ECSOOT Transect: Regional seismic refraction and gravity models and their tectonic implications","Canadian Journal of Earth Sciences, 35(5):583-601"
Line7Site6E,-59.71,56.03,-234.15,32,,FALSE,REFRACTION,LITHOPROBE,ECSOOT,Louden & Fan,1998,"Crustal structures of Grenville, Makkovik, and southern Nain provinces along the Lithoprobe ECSOOT Transect: Regional seismic refraction and gravity models and their tectonic implications","Canadian Journal of Earth Sciences, 35(5):583-601"
Line7Site7E,-59.48,55.78,-165.12,33,,FALSE,REFRACTION,LITHOPROBE,ECSOOT,Louden & Fan,1998,"Crustal structures of Grenville, Makkovik, and southern Nain provinces along the Lithoprobe ECSOOT Transect: Regional seismic refraction and gravity models and their tectonic implications","Canadian Journal of Earth Sciences, 35(5):583-601"
Line88-3Site9LE,-58.5,49.2,-62.53,40,,FALSE,REFRACTION,LITHOPROBE,LITHOPROBE EAST,Hughes et al.,1994,Seismic velocity structure of the Newfoundland Appalachian orogen.,"Journal of Geophysical Research, 99:13633-13653."
Line91-1BobsELE,-53,51.2,-443.41,32,,FALSE,REFRACTION,LITHOPROBE,LITHOPROBE EAST,Hughes et al.,1994,Seismic velocity structure of the Newfoundland Appalachian orogen.,"Journal of Geophysical Research, 99:13633-13653."
Line91-1Site1LE,-54.25,49.7,65.09,35,,FALSE,REFRACTION,LITHOPROBE,LITHOPROBE EAST,Hughes et al.,1994,Seismic velocity structure of the Newfoundland Appalachian orogen.,"Journal of Geophysical Research, 99:13633-13653."
Line91-2Site18LE,-52,48,-186.87,40,,FALSE,REFRACTION,LITHOPROBE,LITHOPROBE EAST,Hughes et al.,1994,Seismic velocity structure of the Newfoundland Appalachian orogen.,"Journal of Geophysical Research, 99:13633-13653."
LineE-WSite102WS,-94.49,50.13,363.09,32,,FALSE,REFRACTION,LITHOPROBE,WESTERN SUPERIOR,Musacchio,2004,Lithospheric structure and composition of the Archean western Superior Province from seismic refraction/wide-angle reflection and gravity,"Journal of Geophysical Research. B, Solid Earth 109(3):1-28"
LineE-WSite103WS,-93.07,50.18,398.99,35,,FALSE,REFRACTION,LITHOPROBE,WESTERN SUPERIOR,Musacchio,2004,Lithospheric structure and composition of the Archean western Superior Province from seismic refraction/wide-angle reflection and gravity,"Journal of Geophysical Research. B, Solid Earth 109(3):1-28"
LineE-WSite106WS,-91.71,50.18,393.91,39,,FALSE,REFRACTION,LITHOPROBE,WESTERN SUPERIOR,Musacchio,2004,Lithospheric structure and composition of the Archean western Superior Province from seismic refraction/wide-angle reflection and gravity,"Journal of Geophysical Research. B, Solid Earth 109(3):1-28"
LineE-WSite108WS,-90.47,50.28,404.98,41,,FALSE,REFRACTION,LITHOPROBE,WESTERN SUPERIOR,Musacchio,2004,Lithospheric structure and composition of the Archean western Superior Province from seismic refraction/wide-angle reflection and gravity,"Journal of Geophysical Research. B, Solid Earth 109(3):1-28"
LineE-WSite110WS,-89.15,50.23,360.94,40,,FALSE,REFRACTION,LITHOPROBE,WESTERN SUPERIOR,Musacchio,2004,Lithospheric structure and composition of the Archean western Superior Province from seismic refraction/wide-angle reflection and gravity,"Journal of Geophysical Research. B, Solid Earth 109(3):1-28"
LineE-WSite113WS,-87.11,50.03,334.2,43,,FALSE,REFRACTION,LITHOPROBE,WESTERN SUPERIOR,Musacchio,2004,Lithospheric structure and composition of the Archean western Superior Province from seismic refraction/wide-angle reflection and gravity,"Journal of Geophysical Research. B, Solid Earth 109(3):1-28"
LineN-SSite201WS,-90.71,48.13,487.33,45,,FALSE,REFRACTION,LITHOPROBE,WESTERN SUPERIOR,Musacchio,2004,Lithospheric structure and composition of the Archean western Superior Province from seismic refraction/wide-angle reflection and gravity,"Journal of Geophysical Research. B, Solid Earth 109(3):1-28"
LineN-SSite204WS,-90.54,49.04,485.75,45,,FALSE,REFRACTION,LITHOPROBE,WESTERN SUPERIOR,Musacchio,2004,Lithospheric structure and composition of the Archean western Superior Province from seismic refraction/wide-angle reflection and gravity,"Journal of Geophysical Research. B, Solid Earth 109(3):1-28"
LineN-SSite205WS,-90.28,49.68,478.85,42,,FALSE,REFRACTION,LITHOPROBE,WESTERN SUPERIOR,Musacchio,2004,Lithospheric structure and composition of the Archean western Superior Province from seismic refraction/wide-angle reflection and gravity,"Journal of Geophysical Research. B, Solid Earth 109(3):1-28"
LineN-SSite206WS,-90.49,50.13,444.18,42,,FALSE,REFRACTION,LITHOPROBE,WESTERN SUPERIOR,Musacchio,2004,Lithospheric structure and composition of the Archean western Superior Province from seismic refraction/wide-angle reflection and gravity,"Journal of Geophysical Research. B, Solid Earth 109(3):1-28"
LineN-SSite208WS,-90.22,51.01,383.02,42,,FALSE,REFRACTION,LITHOPROBE,WESTERN SUPERIOR,Musacchio,2004,Lithospheric structure and composition of the Archean western Superior Province from seismic refraction/wide-angle reflection and gravity,"Journal of Geophysical Research. B, Solid Earth 109(3):1-28"
LineN-SSite209WS,-90.3,51.06,380.13,39,,FALSE,REFRACTION,LITHOPROBE,WESTERN SUPERIOR,Musacchio,2004,Lithospheric structure and composition of the Archean western Superior Province from seismic refraction/wide-angle reflection and gravity,"Journal of Geophysical Research. B, Solid Earth 109(3):1-28"
LineN-SSite212WS,-90.44,52.57,315.82,40,,FALSE,REFRACTION,LITHOPROBE,WESTERN SUPERIOR,Musacchio,2004,Lithospheric structure and composition of the Archean western Superior Province from seismic refraction/wide-angle reflection and gravity,"Journal of Geophysical Research. B, Solid Earth 109(3):1-28"
MD501,-77.27,44.23,113.08,39,,FALSE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
MD502,-77.59,44.47,173.63,39,,FALSE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
MD502,-77.59,44.47,173.63,40,,TRUE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
MD503,-77.63,44.08,94.38,39,,FALSE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
MD504,-77.81,44.98,360.32,39,,FALSE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
MD505,-77.91,45.22,476.03,39,,FALSE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
MD506,-78.17,45.42,451.34,40,,FALSE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
MD507,-78.24,45.68,449.04,40,,FALSE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
MD507,-78.24,45.68,449.04,43,,TRUE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
MD508,-78.31,46.02,302.66,40,,FALSE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
MD508,-78.31,46.02,302.66,45,,TRUE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
Sarex1,-110.43,49.03,891.6,55,,FALSE,REFRACTION,LITHOPROBE,ALBERTA BASEMENT,Gorman et al.,2002,Deep Probe: imaging the roots of western North America,Canadian Journal of Earth Sciences 39:375-398
Sarex10,-111.44,53.09,701,38,,FALSE,REFRACTION,LITHOPROBE,ALBERTA BASEMENT,Gorman et al.,2002,Deep Probe: imaging the roots of western North America,Canadian Journal of Earth Sciences 39:375-398
Sarex11,-111.31,53.47,599.47,36,,FALSE,REFRACTION,LITHOPROBE,ALBERTA BASEMENT,Gorman et al.,2002,Deep Probe: imaging the roots of western North America,Canadian Journal of Earth Sciences 39:375-398
Sarex2,-110.59,49.44,1041.98,48,,FALSE,REFRACTION,LITHOPROBE,ALBERTA BASEMENT,Gorman et al.,2002,Deep Probe: imaging the roots of western North America,Canadian Journal of Earth Sciences 39:375-398
Sarex3,-110.81,49.86,780.07,42,,FALSE,REFRACTION,LITHOPROBE,ALBERTA BASEMENT,Gorman et al.,2002,Deep Probe: imaging the roots of western North America,Canadian Journal of Earth Sciences 39:375-398
Sarex5,-110.9,50.62,775.8,41,,FALSE,REFRACTION,LITHOPROBE,ALBERTA BASEMENT,Gorman et al.,2002,Deep Probe: imaging the roots of western North America,Canadian Journal of Earth Sciences 39:375-398
Sarex8,-111.07,52.08,793.26,40,,FALSE,REFRACTION,LITHOPROBE,ALBERTA BASEMENT,Gorman et al.,2002,Deep Probe: imaging the roots of western North America,Canadian Journal of Earth Sciences 39:375-398
Sarex9,-111.22,52.48,722.47,39,,FALSE,REFRACTION,LITHOPROBE,ALBERTA BASEMENT,Gorman et al.,2002,Deep Probe: imaging the roots of western North America,Canadian Journal of Earth Sciences 39:375-398
XY200,-82.12,46.27,246.57,39,,FALSE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
XY201,-81.96,46.33,285.56,39,,FALSE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
XY201,-81.96,46.33,285.56,37,,TRUE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
XY202,-81.54,46.05,257.75,39,,FALSE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
XY203,-81.04,46.53,308.07,39,,FALSE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
XY204,-80.78,46.62,315.15,39,,FALSE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
XY204,-80.78,46.62,315.15,37,,TRUE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
XY205,-80.3,46.92,360.51,39,,FALSE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
LORITA01,-63.08,82.65,-110.02,25,,FALSE,REFRACTION,LORITA refraction,Lomonosov,Forsyth & Mair,1984,Crustal structure of the Lomonosov ridge and the Fram and Makarovic basins near the North Pole.,"Journal of Geophysical Research, 89:473-481."
LORITA02,-62.21,83.17,-104.7,22,,FALSE,REFRACTION,LORITA refraction,Lomonosov,Forsyth & Mair,1984,Crustal structure of the Lomonosov ridge and the Fram and Makarovic basins near the North Pole.,"Journal of Geophysical Research, 89:473-481."
LORITA03,-55.62,83.94,-365.77,18,,FALSE,REFRACTION,LORITA refraction,Lomonosov,Forsyth & Mair,1984,Crustal structure of the Lomonosov ridge and the Fram and Makarovic basins near the North Pole.,"Journal of Geophysical Research, 89:473-481."
LORITA04,-57.76,85.45,-384.47,27,,FALSE,REFRACTION,LORITA refraction,Lomonosov,Forsyth & Mair,1984,Crustal structure of the Lomonosov ridge and the Fram and Makarovic basins near the North Pole.,"Journal of Geophysical Research, 89:473-481."
TRANSARCTIC01,-170,88,-3862.79,15,,FALSE,REFRACTION,TransArctic89-91,,Lebedova-Ivanova et al.,2004,A seismic model of the Earth's crust along the transcrctic 1989-1991 (East-Siberian continental margin - Podvodnikov basin - Arlis rise-Makarov basin.,"NGF Abstracts and Proceedings, 2, 93–94."
TRANSARCTIC02,-175,85.52,0,25,,FALSE,REFRACTION,TransArctic89-91,Alpha Ridge,Lebedova-Ivanova et al.,2004,A seismic model of the Earth's crust along the transcrctic 1989-1991 (East-Siberian continental margin - Podvodnikov basin - Arlis rise-Makarov basin.,"NGF Abstracts and Proceedings, 2, 93–94."
TRANSARCTIC03,-167,83.08,0,30,,FALSE,REFRACTION,TransArctic89-91,,Lebedova-Ivanova et al.,2004,A seismic model of the Earth's crust along the transcrctic 1989-1991 (East-Siberian continental margin - Podvodnikov basin - Arlis rise-Makarov basin.,"NGF Abstracts and Proceedings, 2, 93–94."
TRANSARCTIC04,-162.5,80.5,0,20,,FALSE,REFRACTION,TransArctic89-91,,Lebedova-Ivanova et al.,2004,A seismic model of the Earth's crust along the transcrctic 1989-1991 (East-Siberian continental margin - Podvodnikov basin - Arlis rise-Makarov basin.,"NGF Abstracts and Proceedings, 2, 93–94."
TRANSARCTIC05,-157,78.5,0,40,,FALSE,REFRACTION,TransArctic89-91,,Lebedova-Ivanova et al.,2004,A seismic model of the Earth's crust along the transcrctic 1989-1991 (East-Siberian continental margin - Podvodnikov basin - Arlis rise-Makarov basin.,"NGF Abstracts and Proceedings, 2, 93–94."
TRANSARCTIC06,-154,77,0,37,,FALSE,REFRACTION,TransArctic89-91,,Lebedova-Ivanova et al.,2004,A seismic model of the Earth's crust along the transcrctic 1989-1991 (East-Siberian continental margin - Podvodnikov basin - Arlis rise-Makarov basin.,"NGF Abstracts and Proceedings, 2, 93–94."
R0101,-125,50,-61.49,51.2,,FALSE,REFRACTION (REVERSED),USGSDatabase,,White & Savage,1965,A seismic refraction and gravity study of the earth's crust in British Columbia.,"Bulletin of the Seismological Society of America, 55(2):463-486."
R0102,-123.19,53.01,1215.75,35.6,,FALSE,REFRACTION (REVERSED),USGSDatabase,,Berry & Forsyth,1975,Structure of the Canadian Cordillera from seismic refraction and other data,"Canadian Journal of Earth Sciences, 12(2):182-208."
R0103,-122.43,53.02,623.15,37.5,,FALSE,REFRACTION (REVERSED),USGSDatabase,,Berry & Forsyth,1975,Structure of the Canadian Cordillera from seismic refraction and other data,"Canadian Journal of Earth Sciences, 12(2):182-208."
R0104,-113.61,51.3,925.33,43.4,,FALSE,REFRACTION (REVERSED),USGSDatabase,,Richards & Walker,1959,Measurement of the thickness of the earth's crust in the Albertan Plains of Western Canada,"Geophysics, 24(2):262-284."
R0105,-112.75,50.5,994.88,46,,FALSE,REFRACTION (REVERSED),USGSDatabase,,Chandra & Cumming,1972,Seismic Refraction Studies in Western Canada.,"Canadian Journal of Earth Sciences, 9(9):1099-1109."
R0106,-112.58,50.2,820.92,44,,FALSE,REFRACTION (REVERSED),USGSDatabase,,Cumming & Chandra,1975,"Further studies of reflections 		from the deep crust in southern Alberta.","Canadian Journal of Earth Sciences, 12(4):539-557."
R0107,-112,50,789.6,47.3,,FALSE,REFRACTION (REVERSED),USGSDatabase,,Kanasewich & Cumming,1965,Near-vertical-Incidence seismic reflections from the Conrad Discontinuity.,"Journal of Geophysical Research, 70(14):3441-3446."
R0108,-111.85,50.5,755.04,47.5,,FALSE,REFRACTION (REVERSED),USGSDatabase,,Cumming et al.,1962,Seismological measurements in Southern Alberta.,"Final Report 1, Contract AF19 (604)-8470: 1-31"
R0109,-109,50,768.11,48.2,,FALSE,REFRACTION (REVERSED),USGSDatabase,,Kanasewich & Cumming,1965,Near-vertical-Incidence seismic reflections from the Conrad Discontinuity.,"Journal of Geophysical Research, 70(14):3441-3446."
R0113,-155,58,0,32,,FALSE,REFRACTION (REVERSED),USGSDatabase,,Berg et al.,1963,"Preliminary determination of crustal structure in the Katmai National Monument, Alaska.","Bulletin of the Seismological Society of America, 57(6):1367-1392."
R0114,-135.25,59.58,1541.39,38,,FALSE,REFRACTION (REVERSED),USGSDatabase,,Tatel & Tuye,1956,Seismic crustal measurements in Alaska.,"Carnegie Inst. Washington Year Book, 55/56:81-85."
R0116,-155,60,0,38,,FALSE,REFRACTION (REVERSED),USGSDatabase,,Berg et al.,1963,"Preliminary determination of crustal structure in the Katmai National Monument, Alaska.","Bulletin of the Seismological Society of America, 57(6):1367-1392."
R0117,-149,64,574.75,40,,FALSE,REFRACTION (REVERSED),USGSDatabase,,Hanson et al.,1968,A seismic refraction profile and crustal structure in central interior Alaska.,"Seismological Society of America Bulletin, 58(5):1657."
R0118,-147.83,61.42,0,48.9,,FALSE,REFRACTION (REVERSED),USGSDatabase,,Tatel & Tuye,1956,Seismic crustal measurements in Alaska.,"Carnegie Inst. Washington Year Book, 55/56:81-85."
R0119,-144,63,1246.82,53,,FALSE,REFRACTION (REVERSED),USGSDatabase,,Berg,1973,Crustal structure in Alaska.,"Tectonophysics, 20:165-182."
R0120,-114.83,62.4,156,33.8,,FALSE,REFRACTION (REVERSED),USGSDatabase,,Clee et al.,1974,Fine structure of the Crust near Yellowknife.,"Canadian Journal of Earth Sciences, 11(11);1534-1549."
R0122,-98,78,-260.13,37.8,,FALSE,REFRACTION (REVERSED),USGSDatabase,,Sander & Overton,1965,Deep seismic refraction investigation in the Canadian Arctic Archipelago.,"Geophysics, 30(1):87-96."
R0297,-114.63,62.47,186.04,33.9,,FALSE,REFRACTION (REVERSED),USGSDatabase,,Barr,1971,Crustal refraction experiment: Yellow knife 1966.,"Journal of Geophysical Research, 76(8):1929."
R0302,-64.95,47.5,16.38,46.3,,FALSE,REFRACTION (REVERSED),USGSDatabase,,Ewing et al.,1966,Seismic studies on the eastern seaboard of Canada (pt1) the Appalachian system.,"Canadian Journal of Earth Sciences, 3(1):89-109."
R0303,-61,46.68,-18.16,43.3,,FALSE,REFRACTION (REVERSED),USGSDatabase,,Ewing et al.,1966,Seismic studies on the eastern seaboard of Canada (pt1) the Appalachian system.,"Canadian Journal of Earth Sciences, 3(1):89-109."
R0304,-59.21,48.68,-63.31,34.7,,FALSE,REFRACTION (REVERSED),USGSDatabase,,Ewing et al.,1966,Seismic studies on the eastern seaboard of Canada (pt1) the Appalachian system.,"Canadian Journal of Earth Sciences, 3(1):89-109."
R0305,-57.15,51.05,-61.7,31.3,,FALSE,REFRACTION (REVERSED),USGSDatabase,,Ewing et al.,1966,Seismic studies on the eastern seaboard of Canada (pt1) the Appalachian system.,"Canadian Journal of Earth Sciences, 3(1):89-109."
