# Canadian Moho depth compilation by Schetsellar, E. M. and Snyder, D. B.
# ===
# This is a reproduction of data downloaded from geoscan.nrcan.gc.ca
# ===
# Title: National database of Moho depth estimates estimates from seismic refraction and teleseismic surveys
# Author: Schetselaar, E M; Snyder, D B
# Source: Geological Survey of Canada, Open File 8243, 2017, 14 pages, https://doi.org/10.4095/305396 (Open Access)
# Year: 2017
# Publisher: Natural Resources Canada
# GEOSCAN ID: 305396
STATION,LON,LAT,Z,MOHODEPTH,STDDEV,DUPLICATE,METHOD,DATA_SOURCE,LOCATION,AUTHORS_1st,YEAR,TITLE,JOURNAL
ALV122,-149.5,64.65,113.66,24.01,,FALSE,REFRACTION,ArcticRefraction,Alaska,Beaudoin et al.,1994,"Crustal structure beneath the Yukon- Tanana Terrane, East-Central Alaska: Results from TACT refraction/wide-angle reflection 
	 data.","Geological Society of America Bulletin, 106:981-1001."
BBV10,-68.23,71.82,-2145.54,9.41,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Jackson et al.,1979,New Geophysical Evidence for Sea Floor Spreading in central Baffin Bay,"Canadian Journal of Earth Sciences, 16(11):2122-2135."
BBV11,-68.92,71.05,-160.06,7.91,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Jackson et al.,1979,New Geophysical Evidence for Sea Floor Spreading in central Baffin Bay,"Canadian Journal of Earth Sciences, 16(11):2122-2135."
BBV12,-64.57,72.43,-2291.67,9.81,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Jackson et al.,1979,New Geophysical Evidence for Sea Floor Spreading in central Baffin Bay,"Canadian Journal of Earth Sciences, 16(11):2122-2135."
BBV15,-74.29,76.89,-515.11,32.5,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Jackson et al.,1979,Crustal Thickness Variations between the Greenland and Ellesmere Island Margins determined from Seismic Refraction,"Canadian Journal of Earth Sciences, 16(11):2122-2135."
BBV16,-77.86,75.56,-396.98,32.5,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Jackson et al.,1979,Crustal Thickness Variations between the Greenland and Ellesmere Island Margins determined from Seismic Refraction,"Canadian Journal of Earth Sciences, 16(11):2122-2135."
BBV17,-76.93,75.92,-209.68,31.57,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Jackson et al.,1979,Crustal Thickness Variations between the Greenland and Ellesmere Island Margins determined from Seismic Refraction,"Canadian Journal of Earth Sciences, 16(11):2122-2135."
BBV18,-76,76.27,-342.98,26,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Jackson et al.,1979,Crustal Thickness Variations between the Greenland and Ellesmere Island Margins determined from Seismic Refraction,"Canadian Journal of Earth Sciences, 16(11):2122-2135."
BBV19,-75.07,76.61,-485.38,26,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Jackson et al.,1979,Crustal Thickness Variations between the Greenland and Ellesmere Island Margins determined from Seismic Refraction,"Canadian Journal of Earth Sciences, 16(11):2122-2135."
BBV20,-71.13,76.2,-609.26,26,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Jackson et al.,1979,Crustal Thickness Variations between the Greenland and Ellesmere Island Margins determined from Seismic Refraction,"Canadian Journal of Earth Sciences, 16(11):2122-2135."
